person moves a small object from left to right, wide shot
person places one item on a table, close-up
person lifts an object and sets it down, side view
person sorts items into two piles, overhead view
person opens and closes a container, handheld camera
person passes an object to another person, wide shot
person packs objects into a bag, close-up
person arranges objects in a row, side view
person repositions a box near the edge, overhead view
person keeps one object fixed while moving another, handheld camera
child moves a small object from left to right, wide shot
child places one item on a table, close-up
child lifts an object and sets it down, side view
child sorts items into two piles, overhead view
child opens and closes a container, handheld camera
child passes an object to another person, wide shot
child packs objects into a bag, close-up
child arranges objects in a row, side view
child repositions a box near the edge, overhead view
child keeps one object fixed while moving another, handheld camera
chef moves a small object from left to right, wide shot
chef places one item on a table, close-up
chef lifts an object and sets it down, side view
chef sorts items into two piles, overhead view
chef opens and closes a container, handheld camera
chef passes an object to another person, wide shot
chef packs objects into a bag, close-up
chef arranges objects in a row, side view
chef repositions a box near the edge, overhead view
chef keeps one object fixed while moving another, handheld camera
student moves a small object from left to right, wide shot
student places one item on a table, close-up
student lifts an object and sets it down, side view
student sorts items into two piles, overhead view
student opens and closes a container, handheld camera
student passes an object to another person, wide shot
student packs objects into a bag, close-up
student arranges objects in a row, side view
student repositions a box near the edge, overhead view
student keeps one object fixed while moving another, handheld camera
mechanic moves a small object from left to right, wide shot
mechanic places one item on a table, close-up
mechanic lifts an object and sets it down, side view
mechanic sorts items into two piles, overhead view
mechanic opens and closes a container, handheld camera
mechanic passes an object to another person, wide shot
mechanic packs objects into a bag, close-up
mechanic arranges objects in a row, side view
mechanic repositions a box near the edge, overhead view
mechanic keeps one object fixed while moving another, handheld camera
vendor moves a small object from left to right, wide shot
vendor places one item on a table, close-up
vendor lifts an object and sets it down, side view
vendor sorts items into two piles, overhead view
vendor opens and closes a container, handheld camera
vendor passes an object to another person, wide shot
vendor packs objects into a bag, close-up
vendor arranges objects in a row, side view
vendor repositions a box near the edge, overhead view
vendor keeps one object fixed while moving another, handheld camera
nurse moves a small object from left to right, wide shot
nurse places one item on a table, close-up
nurse lifts an object and sets it down, side view
nurse sorts items into two piles, overhead view
nurse opens and closes a container, handheld camera
nurse passes an object to another person, wide shot
nurse packs objects into a bag, close-up
nurse arranges objects in a row, side view
nurse repositions a box near the edge, overhead view
nurse keeps one object fixed while moving another, handheld camera
librarian moves a small object from left to right, wide shot
librarian places one item on a table, close-up
librarian lifts an object and sets it down, side view
librarian sorts items into two piles, overhead view
librarian opens and closes a container, handheld camera
librarian passes an object to another person, wide shot
librarian packs objects into a bag, close-up
librarian arranges objects in a row, side view
librarian repositions a box near the edge, overhead view
librarian keeps one object fixed while moving another, handheld camera
florist moves a small object from left to right, wide shot
florist places one item on a table, close-up
florist lifts an object and sets it down, side view
florist sorts items into two piles, overhead view
florist opens and closes a container, handheld camera
florist passes an object to another person, wide shot
florist packs objects into a bag, close-up
florist arranges objects in a row, side view
florist repositions a box near the edge, overhead view
florist keeps one object fixed while moving another, handheld camera
barista moves a small object from left to right, wide shot
barista places one item on a table, close-up
barista lifts an object and sets it down, side view
